127.0.0.1 - - [14/Apr/2019:23:22:30 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:31 +0530] "GET /BlockChain/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:31 +0530] "GET /BlockChain/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:31 +0530] "GET /BlockChain/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:31 +0530] "GET /BlockChain/css/owl.carousel.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:31 +0530] "GET /BlockChain/css/owl.theme.css HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:31 +0530] "GET /BlockChain/css/style.css HTTP/1.1" 200 15682
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:31 +0530] "GET /BlockChain/js/jquery.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:31 +0530] "GET /BlockChain/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:31 +0530] "GET /BlockChain/js/script.js HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:31 +0530] "GET /BlockChain/js/owl.carousel.min.js HTTP/1.1" 200 23890
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:31 +0530] "GET /BlockChain/images/main.png HTTP/1.1" 200 155378
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:33 +0530] "GET /BlockChain/fonts/ionicons.eot?v=2.0.1 HTTP/1.1" 200 120724
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:36 +0530] "GET /BlockChain/AdminLogin.jsp HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:36 +0530] "GET /BlockChain/images/newsletter.png HTTP/1.1" 200 147361
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:39 +0530] "GET /BlockChain/UserLogin.jsp HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:22:54 +0530] "POST /BlockChain/UserLoginController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:36:08 +0530] "GET /BlockChain/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:36:12 +0530] "GET /BlockChain/UserLogin.jsp HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:36:23 +0530] "GET /BlockChain/css1/bootstrap.min.css HTTP/1.1" 200 108131
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:36:23 +0530] "POST /BlockChain/UserLoginController HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:36:23 +0530] "GET /BlockChain/css1/bootstrap-responsive.min.css HTTP/1.1" 200 16849
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:36:23 +0530] "GET /BlockChain/css1/uniform.css HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:36:23 +0530] "GET /BlockChain/css1/select2.css HTTP/1.1" 200 15320
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:36:23 +0530] "GET /BlockChain/css1/matrix-media.css HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:36:23 +0530] "GET /BlockChain/font-awesome/css/font-awesome.css HTTP/1.1" 200 19557
0:0:0:0:0:0:0:1 - - [14/Apr/2019:23:36:23 +0530] "GET /BlockChain/css1/matrix-style.css HTTP/1.1" 200 34254
